Model,Pitch Sim,Rhythm Diversity,Repetition Ratio,Human Score
AE,0.9999987200016383,0.0,0.9836065573770492,0.980211079120636
VAE,0.9999987200016384,0.0,0.9836065573770492,0.980211079120636
Transformer,0.06276837938473279,0.0,0.6262295081967213,0.6
RLHF,0.2744509763923196,0.0,0.7745901639344263,0.8305
